x,y,z,pid,camid
15.808455,1.7748252,1.9058973,520,7
13.367259,0.71250814,17.369198,546,7
7.3627357,0.4051503,10.498818,550,5
9.984528,1.635309,-1.195567,538,2
15.220878,1.2752736,7.4977217,552,2
5.5892596,-1.069051,2.1924589,508,1
1.7752928,5.698641,5.148638,590,1
7.5864525,-3.080702,-3.876167,550,8
7.974518,-1.3188558,8.199494,588,4
10.231071,0.8148687,9.334867,510,4
11.274228,1.1398473,-1.8999759,586,7
6.339598,-0.001575549,10.525832,536,1
7.0735006,-4.667953,-7.0784082,590,8
-5.6415157,0.2733744,-2.4581122,592,3
2.9833162,3.9800541,15.378432,588,1
11.116051,7.759973,5.290273,576,1
8.942094,11.292707,10.063443,590,4
12.988974,2.1409988,5.35208,586,6
-0.102331415,7.178411,15.381038,578,6
11.583954,2.4258797,-8.81056,506,7
8.404403,-1.0189289,7.2906837,588,8
7.8014765,4.339205,9.0738945,576,6
3.2580004,2.6724656,9.343838,522,2
7.7966185,-10.16618,-2.680603,546,8
10.959709,-3.6941965,2.5962691,588,2
16.206713,3.1148703,1.7828183,520,5
10.66307,7.1297274,9.578762,534,1
-5.778879,5.7560463,10.036186,578,4
2.905371,14.827032,9.962355,548,3
17.647259,3.9047413,16.378748,552,8
6.441782,0.4465256,16.479923,538,8
3.168746,9.703733,6.8635364,534,5
10.264969,7.1783295,16.725853,560,8
12.099557,-7.510958,6.707777,504,6
8.013128,-1.6274135,6.7411013,588,7
8.272551,-7.3474927,5.0671825,592,5
3.1513941,9.679415,6.888197,534,5
13.609826,0.83877945,16.947205,546,4
17.65189,3.9001677,16.374075,552,8
1.4553695,-6.1684527,0.8969524,590,2
16.473248,7.6306553,8.405162,578,5
2.639188,6.583142,-0.84707135,584,6
6.262329,-1.071017,2.1490426,548,2
14.619293,1.5705588,6.427717,586,5
7.9796824,4.962203,8.762148,576,2
13.105876,9.659856,9.398723,508,3
-1.7480924,2.3227887,13.251846,510,2
11.00017,-3.689676,2.545585,588,2
2.3662467,9.062831,7.4384828,544,8
7.7281184,4.30017,9.614051,522,5
16.4379,-5.4925847,-1.2729158,534,7
15.851831,11.858383,6.998067,584,8
1.5378503,1.1911051,-4.477537,548,1
7.6625266,4.2082114,9.201967,534,6
12.590027,9.417192,-2.6289144,522,4
6.7817073,-0.1645424,10.786806,536,5
15.229595,1.2493974,7.5097456,552,2
7.0734963,-4.6678457,-7.0785136,590,8
8.038538,3.8111749,9.080578,534,2
12.591498,9.418884,-2.6273413,522,4
7.3548546,0.43521002,10.518311,550,5
5.6178966,-1.0928993,2.1974387,508,1
7.3937936,3.635737,8.702471,576,4
-5.269356,9.508536,3.6203876,560,6
1.2990181,-2.953462,20.985214,578,7
5.134805,1.8173814,9.9901495,550,1
8.592166,4.0172396,-0.71937925,562,5
6.9939065,8.430561,8.350681,544,5
9.105167,-6.972278,9.170954,578,2
6.76756,6.6623387,-1.3914735,574,2
15.852345,11.858894,6.997621,584,8
-0.08849182,7.1804714,15.389827,578,6
2.8422282,7.3116984,-1.3422585,508,4
8.942078,11.2927265,10.063533,590,4
4.1478577,1.8652263,12.574614,510,6
16.128935,2.0679615,1.5613455,520,1
16.709425,2.5855727,1.471598,520,8
16.59112,-5.638039,-1.4288406,534,4
2.5950296,11.274442,7.592529,522,6
2.1013145,-8.971262,-7.4506803,576,7
9.285443,1.3534015,9.493929,536,2
7.7276797,-0.4480629,-6.435457,538,1
13.589353,0.82032603,16.972027,546,4
-5.552696,4.0974193,-0.57318676,534,8
21.168186,1.2935939,10.248427,544,7
-3.282343,-8.790133,-0.30324098,552,5
-5.8852463,-8.573011,3.2546017,542,5
12.423889,1.3944861,4.880921,558,7
1.3088009,-7.7071176,7.153026,528,5
-5.9671197,-0.27683365,-6.303793,556,4
1.597353,-7.344656,7.027966,528,1
-1.6376182,-2.0836022,-9.137727,564,4
10.655367,9.6802,-4.1405067,558,3
1.7195557,-15.049725,6.369034,556,8
17.59673,-2.1806145,5.3336244,594,2
10.556353,1.73879,-5.3071227,558,6
11.710276,-2.8118353,-6.578315,554,2
8.066897,-3.008879,8.322997,526,3
1.8027755,2.3536158,-3.3835952,532,2
4.786239,2.8724098,9.04308,580,4
-1.5640173,3.409199,-1.5323348,570,7
7.227334,-3.420836,-4.2895355,568,6
4.5241356,6.507809,14.178379,594,8
7.8074536,4.906161,-4.78847,556,6
8.626374,-2.8301628,-2.8959184,600,3
